scheduler,task,alpha,release,finish,deadline,response,tardiness,miss
EDF,PIR,0.5,35500.0,35500.5,35600.0,0.5,0.0,0
EDF,Button,0.5,35500.0,35501.0,35650.0,1.0,0.0,0
EDF,Ultra,0.5,35600.0,35601.5,35800.0,1.5,0.0,0
EDF,Ultra,0.5,35800.0,35802.0,36000.0,2.0,0.0,0
EDF,PIR,0.5,36000.0,36000.5,36100.0,0.5,0.0,0
EDF,Button,0.5,36000.0,36001.0,36150.0,1.0,0.0,0
EDF,Ultra,0.5,36000.0,36002.5,36200.0,2.5,0.0,0
EDF,Sound,0.5,36000.0,36006.5,38000.0,6.5,0.0,0
EDF,Ultra,0.5,36200.0,36202.0,36400.0,2.0,0.0,0
EDF,Ultra,0.5,36400.0,36401.5,36600.0,1.5,0.0,0
EDF,PIR,0.5,36500.0,36501.0,36600.0,1.0,0.0,0
EDF,Button,0.5,36500.0,36501.5,36650.0,1.5,0.0,0
EDF,Ultra,0.5,36600.0,36602.0,36800.0,2.0,0.0,0
EDF,Ultra,0.5,36800.0,36801.5,37000.0,1.5,0.0,0
EDF,PIR,0.5,37000.0,37001.0,37100.0,1.0,0.0,0
EDF,Button,0.5,37000.0,37001.5,37150.0,1.5,0.0,0
EDF,Ultra,0.5,37000.0,37003.0,37200.0,3.0,0.0,0
EDF,Ultra,0.5,37200.0,37201.5,37400.0,1.5,0.0,0
EDF,Ultra,0.5,37400.0,37402.0,37600.0,2.0,0.0,0
EDF,PIR,0.5,37500.0,37500.5,37600.0,0.5,0.0,0
EDF,Button,0.5,37500.0,37501.0,37650.0,1.0,0.0,0
EDF,Ultra,0.5,37600.0,37601.5,37800.0,1.5,0.0,0
EDF,Ultra,0.5,37800.0,37802.0,38000.0,2.0,0.0,0
EDF,PIR,0.5,38000.0,38000.5,38100.0,0.5,0.0,0
EDF,Button,0.5,38000.0,38001.0,38150.0,1.0,0.0,0
EDF,Ultra,0.5,38000.0,38002.5,38200.0,2.5,0.0,0
EDF,Sound,0.5,38000.0,38006.5,40000.0,6.5,0.0,0
EDF,Ultra,0.5,38200.0,38202.0,38400.0,2.0,0.0,0
EDF,Ultra,0.5,38400.0,38401.5,38600.0,1.5,0.0,0
EDF,PIR,0.5,38500.0,38501.0,38600.0,1.0,0.0,0
EDF,Button,0.5,38500.0,38501.5,38650.0,1.5,0.0,0
EDF,Ultra,0.5,38600.0,38602.0,38800.0,2.0,0.0,0
EDF,Ultra,0.5,38800.0,38801.5,39000.0,1.5,0.0,0
