task,alpha,release,start,finish,deadline,response,waiting,tardiness,miss,utility
Ultra,0.5,23200.0,23200.0,23202.0,23400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,23400.0,23400.0,23402.0,23600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,23500.0,23500.0,23501.0,23700.0,1.0,0.0,0.0,0,1.0
Button,0.5,23500.0,23501.0,23502.0,23700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,23600.0,23600.0,23602.0,23800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,23800.0,23800.0,23802.0,24000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,24000.0,24000.0,24002.0,24200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,24000.0,24002.0,24003.0,24200.0,3.0,2.0,0.0,0,1.0
Button,0.5,24000.0,24003.0,24004.0,24200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,24000.0,24004.0,24008.0,26000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,24200.0,24200.0,24202.0,24400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,24400.0,24400.0,24402.0,24600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,24500.0,24500.0,24501.0,24700.0,1.0,0.0,0.0,0,1.0
Button,0.5,24500.0,24501.0,24502.0,24700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,24600.0,24600.0,24602.0,24800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,24800.0,24800.0,24802.0,25000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,25000.0,25000.0,25002.0,25200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,25000.0,25002.0,25003.0,25200.0,3.0,2.0,0.0,0,1.0
Button,0.5,25000.0,25003.0,25004.0,25200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,25200.0,25200.0,25202.0,25400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,25400.0,25400.0,25402.0,25600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,25500.0,25500.0,25501.0,25700.0,1.0,0.0,0.0,0,1.0
Button,0.5,25500.0,25501.0,25502.0,25700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,25600.0,25600.0,25602.0,25800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,25800.0,25800.0,25802.0,26000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,26000.0,26000.0,26002.0,26200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,26000.0,26002.0,26003.0,26200.0,3.0,2.0,0.0,0,1.0
Button,0.5,26000.0,26003.0,26004.0,26200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,26000.0,26004.0,26008.0,28000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,26200.0,26200.0,26202.0,26400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,26400.0,26400.0,26402.0,26600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,26500.0,26500.0,26501.0,26700.0,1.0,0.0,0.0,0,1.0
Button,0.5,26500.0,26501.0,26502.0,26700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,26600.0,26600.0,26602.0,26800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,26800.0,26800.0,26802.0,27000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,27000.0,27000.0,27002.0,27200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,27000.0,27002.0,27003.0,27200.0,3.0,2.0,0.0,0,1.0
Button,0.5,27000.0,27003.0,27004.0,27200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,27200.0,27200.0,27202.0,27400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,27400.0,27400.0,27402.0,27600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,27500.0,27500.0,27501.0,27700.0,1.0,0.0,0.0,0,1.0
Button,0.5,27500.0,27501.0,27502.0,27700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,27600.0,27600.0,27602.0,27800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,27800.0,27800.0,27802.0,28000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,28000.0,28000.0,28002.0,28200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,28000.0,28002.0,28003.0,28200.0,3.0,2.0,0.0,0,1.0
Button,0.5,28000.0,28003.0,28004.0,28200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,28000.0,28004.0,28008.0,30000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,28200.0,28200.0,28202.0,28400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,28400.0,28400.0,28402.0,28600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,28500.0,28500.0,28501.0,28700.0,1.0,0.0,0.0,0,1.0
Button,0.5,28500.0,28501.0,28502.0,28700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,28600.0,28600.0,28602.0,28800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,28800.0,28800.0,28802.0,29000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,29000.0,29000.0,29002.0,29200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,29000.0,29002.0,29003.0,29200.0,3.0,2.0,0.0,0,1.0
Button,0.5,29000.0,29003.0,29004.0,29200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,29200.0,29200.0,29202.0,29400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,29400.0,29400.0,29402.0,29600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,29500.0,29500.0,29501.0,29700.0,1.0,0.0,0.0,0,1.0
